frame_num,num_pixels
1,262144
2,262144
3,262144
4,262144
5,262144
6,262144
7,262144
8,262144
9,262144
10,262144
11,262144
12,262144
13,262144
14,262144
15,262144
16,262144
17,262144
18,262144
19,262144
20,262144
21,262144
22,262144
23,262144
24,262144
25,262144
26,262144
27,262144
28,262144
29,262144
30,262144
31,262144
32,262144
33,262144
34,262144
35,262144
36,262144
37,262144
38,262144
39,262144
40,262144
41,262144
42,262144
43,262144
44,262144
45,262144
46,262144
47,262144
48,262144
49,262144
50,262144
51,262144
52,262144
53,262144
54,262144
55,262144
56,262144
57,262144
58,262144
59,262144
60,262144
61,262144
62,262144
63,262144
64,262144
65,262144
66,262144
67,262144
68,262144
69,262144
70,262144
71,262144
72,262144
73,262144
74,262144
75,262144
76,262144
77,262144
78,262144
79,262144
80,262144
81,262144
82,262144
83,262144
84,262144
85,262144
86,262144
87,262144
88,262144
89,262144
90,262144
91,262144
92,262144
93,262144
94,262144
95,262144
96,262144
97,262144
98,262144
99,262144
100,262144
101,262144
102,262144
103,262144
104,262144
105,262144
106,262144
107,262144
108,262144
109,262144
110,262144
111,262144
112,262144
113,262144
114,262144
115,262144
116,262144
117,262144
118,262144
119,262144
120,262144
